step,train_loss,val_loss,lr,tokens,wall_clock
250,2.167786121368408,2.149792563915253,0.0002974060128544361,16000,250
500,1.58347487449646,1.6194798946380615,0.0002819134295108992,32000,500
750,1.378572702407837,1.377489161491394,0.00025401168503850927,48000,750
1000,1.2289568185806274,1.267276555299759,0.00021666226336928708,64000,1000
1250,1.1654051542282104,1.205408090353012,0.0001738294224460693,80000,1250
1500,1.0777801275253296,1.1285708725452424,0.00013005942891115968,96000,1500
1750,1.1225948333740234,1.088721638917923,8.999801854235373e-05,112000,1750
2000,1.027803897857666,1.0728820204734801,5.789729906068326e-05,128000,2000
2250,1.0388669967651367,1.04667087495327,3.7164432518160744e-05,144000,2250
2500,1.0570569038391113,1.0425920367240906,2.9999999999999997e-05,160000,2500
