step,train_loss,val_loss,lr,tokens,wall_clock
250,2.1675517559051514,2.149490487575531,0.0002997598939655609,16000,250
500,1.582951545715332,1.6199670076370238,0.000298295671161405,32000,500
750,1.3762052059173584,1.3774699330329896,0.000295515060436835,48000,750
1000,1.2327637672424316,1.274422037601471,0.0002914455222662782,64000,1000
1250,1.170546531677246,1.2158947944641114,0.0002861272461835936,80000,1250
1500,1.0922996997833252,1.1424138605594636,0.00027961275388233416,96000,1500
1750,1.1384249925613403,1.1065822541713715,0.0002719663805273125,112000,1750
2000,1.0388319492340088,1.087694275379181,0.0002632636393998817,128000,2000
2250,1.0443050861358643,1.0525868773460387,0.0002535904761515007,144000,2250
2500,1.0558737516403198,1.0422397196292876,0.0002430424200303545,160000,2500
2750,1.0548250675201416,1.0129838317632676,0.00023172364046325755,176000,2750
3000,0.9963228702545166,0.9975952327251434,0.00021974591830975417,192000,3000
3250,0.9741305112838745,0.9968923419713974,0.00020722754194800068,208000,3250
3500,0.9812385439872742,0.9790983825922013,0.00019429213909435291,224000,3500
3750,0.9460645318031311,0.9714108347892761,0.00018106745589325715,240000,3750
4000,0.972673773765564,0.9525768905878067,0.00016768409533478448,256000,4000
4250,0.8998830318450928,0.9538223326206208,0.00015427422745881855,272000,4250
4500,0.8695946931838989,0.9324014037847519,0.0001409702840835307,288000,4500
4750,0.9325511455535889,0.9257426619529724,0.00012790365094861157,304000,4750
5000,0.8920226097106934,0.9192914009094239,0.00011520337018925895,320000,5000
5250,0.8866259455680847,0.9188763111829757,0.00010299486595489795,336000,5250
5500,0.8703150153160095,0.9052391767501831,9.139870575803991e-05,352000,5500
5750,0.8773742914199829,0.9019904494285583,8.05294097858244e-05,368000,5750
6000,0.8859041333198547,0.881298378109932,7.049431993312759e-05,384000,6000
6250,0.8733365535736084,0.8820251971483231,6.13925397263224e-05,400000,6250
6500,0.8985886573791504,0.8793495893478394,5.3313955606687296e-05,416000,6500
6750,0.8678317666053772,0.8642001181840897,4.633834923897145e-05,432000,6750
7000,0.8584759831428528,0.8674865633249282,4.0534609611692115e-05,448000,7000
7250,0.8616409301757812,0.8678829342126846,3.596005271022229e-05,464000,7250
7500,0.8571205735206604,0.8610012263059617,3.265985548137413e-05,480000,7500
7750,0.8870517015457153,0.8600338101387024,3.06666096794723e-05,496000,7750
8000,0.8747673034667969,0.8494571894407272,2.9999999999999997e-05,512000,8000
250,2.1675424575805664,2.1494713544845583,0.0002997598939655609,16000,250
500,1.5829646587371826,1.619967669248581,0.000298295671161405,32000,500
750,1.3762602806091309,1.3774764239788055,0.000295515060436835,48000,750
1000,1.2328532934188843,1.2744229972362517,0.0002914455222662782,64000,1000
1250,1.170711874961853,1.2160281896591187,0.0002861272461835936,80000,1250
1500,1.0925346612930298,1.1424265146255492,0.00027961275388233416,96000,1500
1750,1.1384687423706055,1.1065141439437867,0.0002719663805273125,112000,1750
2000,1.0389304161071777,1.0876784086227418,0.0002632636393998817,128000,2000
2250,1.044344425201416,1.0525799214839935,0.0002535904761515007,144000,2250
2500,1.0558228492736816,1.0423405945301056,0.0002430424200303545,160000,2500
2750,1.05477774143219,1.013019672036171,0.00023172364046325755,176000,2750
3000,0.9964214563369751,0.9976049363613129,0.00021974591830975417,192000,3000
3250,0.974250078201294,0.9968779295682907,0.00020722754194800068,208000,3250
3500,0.9812192916870117,0.9790778666734695,0.00019429213909435291,224000,3500
3750,0.94593346118927,0.9714071810245514,0.00018106745589325715,240000,3750
4000,0.9724884033203125,0.9525550425052642,0.00016768409533478448,256000,4000
4250,0.9000587463378906,0.9537939965724945,0.00015427422745881855,272000,4250
4500,0.8694998025894165,0.9323459595441819,0.0001409702840835307,288000,4500
4750,0.932701051235199,0.9256918221712113,0.00012790365094861157,304000,4750
5000,0.8919415473937988,0.9193362683057785,0.00011520337018925895,320000,5000
5250,0.8864312171936035,0.9188812047243118,0.00010299486595489795,336000,5250
5500,0.8704510927200317,0.9052590519189835,9.139870575803991e-05,352000,5500
5750,0.8772674798965454,0.9019677579402924,8.05294097858244e-05,368000,5750
6000,0.8859906196594238,0.8812773078680038,7.049431993312759e-05,384000,6000
6250,0.8734563589096069,0.8820481479167939,6.13925397263224e-05,400000,6250
6500,0.8985261917114258,0.8793156147003174,5.3313955606687296e-05,416000,6500
6750,0.8678103685379028,0.8642231702804566,4.633834923897145e-05,432000,6750
7000,0.8585985898971558,0.8674637138843536,4.0534609611692115e-05,448000,7000
7250,0.86176997423172,0.8679344624280929,3.596005271022229e-05,464000,7250
7500,0.8571004867553711,0.8609963625669479,3.265985548137413e-05,480000,7500
7750,0.8869622945785522,0.8600201427936554,3.06666096794723e-05,496000,7750
8000,0.8749201893806458,0.8494757294654847,2.9999999999999997e-05,512000,8000
