step,train_loss,val_loss,lr,tokens,wall_clock
250,2.231271266937256,2.214894413948059,0.0002974060128544361,16000,250
500,1.6578618288040161,1.6776181161403656,0.0002819134295108992,32000,500
750,1.4352328777313232,1.4413831949234008,0.00025401168503850927,48000,750
1000,1.2793853282928467,1.3173688054084778,0.00021666226336928708,64000,1000
1250,1.2194631099700928,1.2584842443466187,0.0001738294224460693,80000,1250
1500,1.1277785301208496,1.1826106369495393,0.00013005942891115968,96000,1500
1750,1.1798040866851807,1.1482184112071991,8.999801854235373e-05,112000,1750
2000,1.081716775894165,1.1332071840763092,5.789729906068326e-05,128000,2000
2250,1.1034486293792725,1.1083473026752473,3.7164432518160744e-05,144000,2250
2500,1.1228466033935547,1.1078381538391113,2.9999999999999997e-05,160000,2500
