step,train_loss,val_loss,lr,tokens,wall_clock
250,2.517812967300415,2.5039397358894346,0.0002974060128544361,16000,250
500,1.8572721481323242,1.8820585310459137,0.0002819134295108992,32000,500
750,1.5268826484680176,1.5357286870479583,0.00025401168503850927,48000,750
1000,1.3057887554168701,1.348052340745926,0.00021666226336928708,64000,1000
1250,1.221505880355835,1.2585117936134338,0.0001738294224460693,80000,1250
1500,1.1273741722106934,1.1752613842487336,0.00013005942891115968,96000,1500
1750,1.1610032320022583,1.131396436691284,8.999801854235373e-05,112000,1750
2000,1.064237117767334,1.108071357011795,5.789729906068326e-05,128000,2000
2250,1.0734502077102661,1.0841853260993957,3.7164432518160744e-05,144000,2250
2500,1.0940991640090942,1.0795517265796661,2.9999999999999997e-05,160000,2500
