step,train_loss,val_loss,lr,tokens,wall_clock,dialog_ppl
0,,,,0,0,31.903875386436905
250,1.6856602430343628,1.6437105655670166,8.981285407444253e-05,2048000,250,5.067009237439691
500,1.4329019784927368,1.5673224449157714,8.86754419530807e-05,4096000,500,4.762847290823789
750,1.4489214420318604,1.52561497092247,8.653371123214041e-05,6144000,750,4.621493809431469
1000,1.4761906862258911,1.5063227832317352,8.344256824811954e-05,8192000,1000,4.542291389938882
1250,1.3929606676101685,1.478343415260315,7.948125888155029e-05,10240000,1250,4.488461056498199
1500,1.334852933883667,1.4803208351135253,7.475133697527871e-05,12288000,1500,4.451341923502677
1750,1.3213974237442017,1.4793115258216858,6.93740608561595e-05,14336000,1750,4.416855872668764
2000,1.3508076667785645,1.463213449716568,6.348728470406296e-05,16384000,2000,4.407673767148976
2250,1.2276569604873657,1.4945431292057036,5.724192446240559e-05,18432000,2250,4.379589498663708
2500,1.2721067667007446,1.5011127233505248,5.0798088891652045e-05,20480000,2500,4.391431045608378
2750,1.177780270576477,1.480187338590622,4.43209749517775e-05,22528000,2750,4.382104566757437
3000,1.1925275325775146,1.4880936563014984,3.797663274144319e-05,24576000,3000,4.3742315681586
3250,1.2257596254348755,1.4841590702533722,3.19277085657389e-05,26624000,3250,4.3861641458812395
3500,1.1164711713790894,1.4787995934486389,2.6329275265052137e-05,28672000,3500,4.37840262207577
3750,1.186268925666809,1.4829053223133086,2.1324856700558805e-05,30720000,3750,4.373008086836101
4000,1.2302124500274658,1.4818526983261109,1.7042748314347764e-05,32768000,4000,4.3922589511116215
4250,1.2139219045639038,1.4829529643058776,1.3592728091893498e-05,34816000,4250,4.389772134807069
4500,1.2088170051574707,1.479857474565506,1.106324224606792e-05,36864000,4500,4.402318098279772
4750,1.1850266456604004,1.4839512288570404,9.519137771714769e-06,38912000,4750,4.3971511193501005
5000,1.185539722442627,1.4670503616333008,9e-06,40960000,5000,4.401101406745928
