step,train_loss,val_loss,lr,tokens,wall_clock,role_norm_assistant,role_norm_system,role_norm_user
0,,,,0,0,1.9009182453155518,1.9060235023498535,1.9049488306045532
25,2.4878647327423096,2.486133170127869,2.3400000000000003e-05,204800,25,1.900864839553833,1.9059191942214966,1.9034311771392822
50,2.0679006576538086,2.1304335832595824,4.5900000000000004e-05,409600,50,1.9009041786193848,1.9058672189712524,1.9014009237289429
75,1.9441466331481934,2.0028562366962435,6.840000000000001e-05,614400,75,1.8990145921707153,1.9055947065353394,1.9004050493240356
100,1.872037410736084,1.8956191420555115,9e-05,819200,100,1.8920478820800781,1.9052634239196777,1.9011913537979126
125,1.6460806131362915,1.7650125861167907,8.990558515221684e-05,1024000,125,1.880258560180664,1.9046897888183594,1.9044872522354126
150,1.686706781387329,1.7180529057979583,8.962278081447139e-05,1228800,150,1.8700668811798096,1.904726266860962,1.9097932577133179
175,1.664087176322937,1.6687008619308472,8.915290555113408e-05,1433600,175,1.8611140251159668,1.9055002927780151,1.914116382598877
200,1.6868524551391602,1.663284832239151,8.849815013758588e-05,1638400,200,1.8541960716247559,1.90548574924469,1.9167159795761108
225,1.5815377235412598,1.6469854354858398,8.766156734581224e-05,1843200,225,1.8482824563980103,1.9048895835876465,1.9183225631713867
250,1.6852082014083862,1.6436201870441436,8.664705771097085e-05,2048000,250,1.8432976007461548,1.9040677547454834,1.9191197156906128
275,1.5987260341644287,1.6168241441249847,8.54593513452962e-05,2252800,275,1.838459849357605,1.9038586616516113,1.9196584224700928
300,1.6106302738189697,1.6344012558460235,8.41039858841328e-05,2457600,300,1.834980845451355,1.9031481742858887,1.9201841354370117
325,1.512834906578064,1.612496441602707,8.25872806669229e-05,2662400,325,1.83145010471344,1.9032881259918213,1.9204307794570923
350,1.4974392652511597,1.5853017151355744,8.0916307273529e-05,2867200,350,1.8283004760742188,1.903182029724121,1.9206173419952393
375,1.5968565940856934,1.5845443069934846,7.909885655326403e-05,3072000,375,1.8254830837249756,1.9029078483581543,1.9206877946853638
400,1.5192452669143677,1.587314623594284,7.71434023003555e-05,3276800,400,1.8225904703140259,1.9031869173049927,1.9206825494766235
425,1.5194233655929565,1.6010947227478027,7.505906174520514e-05,3481600,425,1.8198298215866089,1.9034510850906372,1.9205070734024048
450,1.5056827068328857,1.5662690281867981,7.285555304565211e-05,3686400,450,1.8165779113769531,1.9046720266342163,1.9203721284866333
475,1.5669922828674316,1.5635194063186646,7.054314997643507e-05,3891200,475,1.8147530555725098,1.904585599899292,1.9202569723129272
500,1.4311864376068115,1.5648374617099763,6.813263402811167e-05,4096000,500,1.8126825094223022,1.9046645164489746,1.9201157093048096
525,1.4586846828460693,1.5428688108921051,6.563524413877279e-05,4300800,525,1.8102974891662598,1.9046062231063843,1.919966220855713
550,1.5627130270004272,1.5695989012718201,6.306262429292495e-05,4505600,550,1.8087503910064697,1.9045106172561646,1.919815182685852
575,1.5013595819473267,1.537835270166397,6.0426769231859485e-05,4710400,575,1.8072479963302612,1.9042655229568481,1.9196335077285767
600,1.5032950639724731,1.5372198104858399,5.773996852863168e-05,4915200,600,1.8054909706115723,1.9038105010986328,1.9195269346237183
625,1.4796488285064697,1.5527098536491395,5.5014749288397996e-05,5120000,625,1.8042773008346558,1.903400182723999,1.9193120002746582
650,1.4458264112472534,1.5389807522296906,5.226381774126918e-05,5324800,650,1.8024109601974487,1.9032847881317139,1.9190772771835327
675,1.417604923248291,1.5483764231204986,4.9500000000000004e-05,5529600,675,1.8013592958450317,1.903134822845459,1.91892671585083
700,1.5290238857269287,1.5183308362960815,4.6736182258730834e-05,5734400,700,1.799472451210022,1.9029645919799805,1.9187746047973633
725,1.4677907228469849,1.5334314227104187,4.3985250711602025e-05,5939200,725,1.7986910343170166,1.9031368494033813,1.9186716079711914
750,1.4529694318771362,1.5211636126041412,4.1260031471368346e-05,6144000,750,1.797687292098999,1.903059959411621,1.918371558189392
775,1.5010581016540527,1.5177786767482757,3.857323076814052e-05,6348800,775,1.7967047691345215,1.9030520915985107,1.9182662963867188
800,1.4675369262695312,1.537743717432022,3.593737570707506e-05,6553600,800,1.7962148189544678,1.9031531810760498,1.9181394577026367
825,1.410965085029602,1.515424942970276,3.336475586122722e-05,6758400,825,1.795438289642334,1.9030976295471191,1.9180599451065063
850,1.4383227825164795,1.4917509257793427,3.086736597188834e-05,6963200,850,1.794309139251709,1.9031192064285278,1.9178907871246338
875,1.4143028259277344,1.48731489777565,2.8456850023564953e-05,7168000,875,1.7936222553253174,1.9029721021652222,1.917866826057434
900,1.3461700677871704,1.5037119686603546,2.6144446954347887e-05,7372800,900,1.793333649635315,1.9030141830444336,1.9176825284957886
925,1.4511513710021973,1.5112375795841217,2.3940938254794877e-05,7577600,925,1.792851448059082,1.903290033340454,1.9176347255706787
950,1.3624955415725708,1.4954127609729766,2.1856597699644514e-05,7782400,950,1.7923585176467896,1.9032516479492188,1.9175763130187988
975,1.443482518196106,1.5052405655384065,1.9901143446735977e-05,7987200,975,1.791897177696228,1.9031471014022827,1.9174619913101196
1000,1.475696325302124,1.4960789442062379,1.8083692726470996e-05,8192000,1000,1.791686773300171,1.9032536745071411,1.9173656702041626
