step,train_loss,val_loss,lr,tokens,wall_clock,role_norm_assistant,role_norm_system,role_norm_user
0,,,,0,0,1.9009182453155518,1.9060235023498535,1.9049488306045532
25,2.5039353370666504,2.4753909945487975,2.3400000000000003e-05,204800,25,1.8997794389724731,1.9053934812545776,1.9037967920303345
50,2.079502582550049,2.117083728313446,4.5900000000000004e-05,409600,50,1.8981229066848755,1.9056737422943115,1.902249813079834
75,1.9458047151565552,1.9831080079078673,6.840000000000001e-05,614400,75,1.8972219228744507,1.9089257717132568,1.90147864818573
100,1.8357064723968506,1.8644461512565613,9e-05,819200,100,1.8968722820281982,1.9126979112625122,1.9012383222579956
125,1.6117000579833984,1.7360380947589875,8.990558515221684e-05,1024000,125,1.89896821975708,1.9165399074554443,1.9033170938491821
150,1.6926847696304321,1.6967076182365417,8.962278081447139e-05,1228800,150,1.9026058912277222,1.9218987226486206,1.907353162765503
175,1.5785659551620483,1.6478439390659332,8.915290555113408e-05,1433600,175,1.9046059846878052,1.9283082485198975,1.9100209474563599
200,1.616809606552124,1.643948233127594,8.849815013758588e-05,1638400,200,1.9052717685699463,1.9345200061798096,1.9111912250518799
225,1.550995111465454,1.6256260395050048,8.766156734581224e-05,1843200,225,1.9049608707427979,1.9393104314804077,1.9117294549942017
250,1.5839208364486694,1.6202043890953064,8.664705771097085e-05,2048000,250,1.9043484926223755,1.9433276653289795,1.911838412284851
275,1.5216965675354004,1.6000055909156798,8.54593513452962e-05,2252800,275,1.9036741256713867,1.947149634361267,1.9117389917373657
300,1.560132384300232,1.615481722354889,8.41039858841328e-05,2457600,300,1.9029337167739868,1.9501420259475708,1.9117441177368164
325,1.5002048015594482,1.5905366837978363,8.25872806669229e-05,2662400,325,1.9021061658859253,1.9522985219955444,1.911529779434204
350,1.4724719524383545,1.5692230880260467,8.0916307273529e-05,2867200,350,1.9012446403503418,1.9539180994033813,1.9113670587539673
375,1.485037088394165,1.5716992676258088,7.909885655326403e-05,3072000,375,1.9004297256469727,1.9554123878479004,1.911063313484192
400,1.4554855823516846,1.5697419404983521,7.71434023003555e-05,3276800,400,1.8995577096939087,1.9567830562591553,1.910668969154358
425,1.4947497844696045,1.5861884713172913,7.505906174520514e-05,3481600,425,1.8986961841583252,1.957789421081543,1.9102436304092407
450,1.456108570098877,1.549696546792984,7.285555304565211e-05,3686400,450,1.8976730108261108,1.9587494134902954,1.9095748662948608
475,1.4925146102905273,1.5455900371074676,7.054314997643507e-05,3891200,475,1.8967376947402954,1.9593465328216553,1.9092789888381958
500,1.4031859636306763,1.5499949038028717,6.813263402811167e-05,4096000,500,1.8960888385772705,1.9602359533309937,1.9087603092193604
525,1.4061150550842285,1.5289940059185028,6.563524413877279e-05,4300800,525,1.895228624343872,1.960983395576477,1.9084537029266357
550,1.4458341598510742,1.5565175771713258,6.306262429292495e-05,4505600,550,1.8942084312438965,1.9611225128173828,1.9082423448562622
575,1.4633938074111938,1.526519513130188,6.0426769231859485e-05,4710400,575,1.89334237575531,1.9611802101135254,1.9081072807312012
600,1.4185341596603394,1.5205360054969788,5.773996852863168e-05,4915200,600,1.8925625085830688,1.9614372253417969,1.9076443910598755
625,1.4425110816955566,1.5371514022350312,5.5014749288397996e-05,5120000,625,1.8919717073440552,1.961788296699524,1.9071762561798096
650,1.3946484327316284,1.5287149906158448,5.226381774126918e-05,5324800,650,1.8912485837936401,1.9620052576065063,1.9069294929504395
675,1.3903534412384033,1.5361706733703613,4.9500000000000004e-05,5529600,675,1.8906340599060059,1.9621447324752808,1.9069699048995972
700,1.4730157852172852,1.5085955679416656,4.6736182258730834e-05,5734400,700,1.8897184133529663,1.9623966217041016,1.9063615798950195
725,1.3643964529037476,1.5242806911468505,4.3985250711602025e-05,5939200,725,1.8891829252243042,1.9625270366668701,1.9061957597732544
750,1.3854150772094727,1.5120895385742188,4.1260031471368346e-05,6144000,750,1.888545274734497,1.9625717401504517,1.905760407447815
775,1.4609475135803223,1.50808944106102,3.857323076814052e-05,6348800,775,1.8879655599594116,1.9625285863876343,1.9056856632232666
800,1.3755476474761963,1.52629953622818,3.593737570707506e-05,6553600,800,1.8878333568572998,1.9625282287597656,1.9052739143371582
825,1.3757615089416504,1.5070079803466796,3.336475586122722e-05,6758400,825,1.887399673461914,1.9625276327133179,1.9050307273864746
850,1.418879508972168,1.4845996379852295,3.086736597188834e-05,6963200,850,1.8866839408874512,1.9625113010406494,1.9049639701843262
875,1.41566801071167,1.4795240044593811,2.8456850023564953e-05,7168000,875,1.8862348794937134,1.9624717235565186,1.9050250053405762
900,1.3531936407089233,1.4947200894355774,2.6144446954347887e-05,7372800,900,1.885969877243042,1.9623700380325317,1.9046906232833862
925,1.3508049249649048,1.5044642508029937,2.3940938254794877e-05,7577600,925,1.8857208490371704,1.9624481201171875,1.9044463634490967
950,1.2958179712295532,1.4901286840438843,2.1856597699644514e-05,7782400,950,1.8854873180389404,1.9624983072280884,1.904250979423523
975,1.407345175743103,1.4991016924381255,1.9901143446735977e-05,7987200,975,1.8851912021636963,1.9625325202941895,1.9041197299957275
1000,1.406124472618103,1.491870069503784,1.8083692726470996e-05,8192000,1000,1.885044813156128,1.9625582695007324,1.9039498567581177
1025,1.4378163814544678,1.4833797931671142,1.64127193330771e-05,8396800,1025,1.884822130203247,1.9625431299209595,1.9038054943084717
1050,1.388396978378296,1.4840727031230927,1.4896014115867212e-05,8601600,1050,1.8845995664596558,1.9625788927078247,1.9037537574768066
1075,1.3311347961425781,1.4764729678630828,1.3540648654703805e-05,8806400,1075,1.8844369649887085,1.962607741355896,1.9037091732025146
1100,1.3946521282196045,1.5126341223716735,1.2352942289029163e-05,9011200,1100,1.8841938972473145,1.962520956993103,1.903672456741333
1125,1.412423849105835,1.501914483308792,1.1338432654187774e-05,9216000,1125,1.8840041160583496,1.9624561071395874,1.9035974740982056
1150,1.3126174211502075,1.4861816108226775,1.0501849862414136e-05,9420800,1150,1.8838162422180176,1.962420105934143,1.9035396575927734
1175,1.4477249383926392,1.4999099969863892,9.847094448865923e-06,9625600,1175,1.8836838006973267,1.96238112449646,1.9033491611480713
1200,1.335437536239624,1.4950328707695006,9.377219185528606e-06,9830400,1200,1.8835457563400269,1.962403655052185,1.9033031463623047
1225,1.3947635889053345,1.4958445489406587,9.09441484778316e-06,10035200,1225,1.8833638429641724,1.962458848953247,1.9033138751983643
1250,1.3615577220916748,1.4702580332756043,9e-06,10240000,1250,1.8831831216812134,1.96245276927948,1.9032503366470337
