step,train_loss,val_loss,lr,tokens,wall_clock,dialog_ppl,ewc_penalty,retention_ppl
0,,,,0,0,31.903875386436905,0.0,2.107553076833866
250,1.623079776763916,1.6494352400302887,8.970470940097119e-05,2048000,250,5.101385352725669,0.08073534071445465,3.904004961246996
500,1.4763792753219604,1.6027163505554198,8.79157258988594e-05,4096000,500,4.942488727040017,0.10602331906557083,3.7456279179677776
750,1.4877406358718872,1.5794104516506196,8.457402885326977e-05,6144000,750,4.847277117152482,0.11753696948289871,3.7100217269519837
1000,1.5264637470245361,1.5653079509735108,7.981468530092959e-05,8192000,1000,4.809248144443424,0.12376952916383743,3.7662001286580105
1250,1.4724253416061401,1.543745470046997,7.383006170163816e-05,10240000,1250,4.7802730817549,0.12773261964321136,3.8719771217105237
1500,1.4214669466018677,1.547968989610672,6.68620487368237e-05,12288000,1500,4.756338637508941,0.13088518381118774,3.8482614781570486
1750,1.4847846031188965,1.539835411310196,5.91922844036461e-05,14336000,1750,4.689524330672864,0.13307954370975494,3.8653883813167567
2000,1.4616806507110596,1.5241568684577942,5.113077057443132e-05,16384000,2000,4.667032914063036,0.13425453007221222,3.8900558217036987
2250,1.360503077507019,1.5548619091510774,4.3003343125260716e-05,18432000,2250,4.648969846827398,0.1344238966703415,3.817281376974848
2500,1.4265106916427612,1.550490242242813,3.51385020747773e-05,20480000,2500,4.634936938347508,0.13436351716518402,3.7395930604502263
2750,1.4179658889770508,1.5381382524967193,2.7854134041824055e-05,22528000,2750,4.614260019392489,0.13473086059093475,3.737538708079517
3000,1.4021317958831787,1.540586566925049,2.144466368286123e-05,24576000,3000,4.6019880924256436,0.13458186388015747,3.8440372367008537
3250,1.3925809860229492,1.5313351273536682,1.616915343130692e-05,26624000,3250,4.594802887076486,0.13443973660469055,3.869204120954469
3500,1.3766279220581055,1.5248342990875243,1.2240832531817622e-05,28672000,3500,4.577884251661108,0.13449232280254364,3.808934473310053
3750,1.3839240074157715,1.5284305393695832,9.81847859228816e-06,30720000,3750,4.574530088411122,0.13433311879634857,3.8575823461965393
4000,1.4012203216552734,1.5235939919948578,9e-06,32768000,4000,4.573349242745997,0.13435843586921692,3.8911400839446597
