step,train_loss,val_loss,lr,tokens,wall_clock,dialog_ppl,ewc_penalty,retention_ppl
0,,,,0,0,31.903875386436905,0.0,2.107553076833866
250,1.5834434032440186,1.6202060341835023,8.970470940097119e-05,2048000,250,4.962387252421161,0.18639081716537476,5.022760206335013
500,1.4018499851226807,1.5509480476379394,8.79157258988594e-05,4096000,500,4.691019509162425,0.373288094997406,5.383356027722653
750,1.3759820461273193,1.5128547072410583,8.457402885326977e-05,6144000,750,4.54516941895095,0.5502203106880188,5.888318492656517
1000,1.3826807737350464,1.4922112345695495,7.981468530092959e-05,8192000,1000,4.478687312471396,0.7140451669692993,6.36745745937076
1250,1.3011844158172607,1.4661344408988952,7.383006170163816e-05,10240000,1250,4.421723369187519,0.8666765689849854,6.663846481852234
1500,1.2366173267364502,1.4576437056064606,6.68620487368237e-05,12288000,1500,4.355374671390898,1.0055874586105347,6.907592966816917
1750,1.2932665348052979,1.455044949054718,5.91922844036461e-05,14336000,1750,4.306331388314073,1.1280580759048462,7.278601168114796
2000,1.227175235748291,1.4363220453262329,5.113077057443132e-05,16384000,2000,4.278657362720633,1.2330026626586914,7.56873438650349
2250,1.1450930833816528,1.4677541613578797,4.3003343125260716e-05,18432000,2250,4.262734554521303,1.321022629737854,7.757698236711684
2500,1.1865800619125366,1.4636823773384093,3.51385020747773e-05,20480000,2500,4.243831125392852,1.3929619789123535,7.700395676231419
2750,1.2006783485412598,1.4453521609306335,2.7854134041824055e-05,22528000,2750,4.2252694112805385,1.4504960775375366,7.9863255894190885
3000,1.1860675811767578,1.4498303174972533,2.144466368286123e-05,24576000,3000,4.2106531180079845,1.4947049617767334,8.376808531315191
3250,1.1576721668243408,1.4435479938983917,1.616915343130692e-05,26624000,3250,4.2126169370286295,1.5285083055496216,8.314625991338033
3500,1.1099293231964111,1.4378436923027038,1.2240832531817622e-05,28672000,3500,4.196268647012358,1.554772138595581,8.336517670411322
3750,1.1304235458374023,1.437477821111679,9.81847859228816e-06,30720000,3750,4.191945490837436,1.5753049850463867,8.535522588192919
4000,1.1526952981948853,1.4321022510528565,9e-06,32768000,4000,4.192794562524908,1.593333125114441,8.52417066884246
