step,train_loss,val_loss,lr,tokens,wall_clock
10,1.7672057151794434,1.5465018272399902,0.000165,20480,10
20,1.4932395219802856,1.6670702874660492,0.0003,40960,20
30,1.2942240238189697,1.665534907579422,0.0002979490466566481,61440,30
40,1.0267055034637451,1.565393680334091,0.00029185850380609757,81920,40
50,0.9630647897720337,1.5468065977096557,0.0002819134295108992,102400,50
60,0.7995449304580688,1.614739567041397,0.000268415999821062,122880,60
70,0.9017090797424316,1.629280000925064,0.0002517763273076828,143360,70
80,0.38364437222480774,1.61060329079628,0.00023249999999999999,163840,80
90,0.6728923320770264,1.6957307517528535,0.00021117271934896527,184320,90
100,0.8606404066085815,1.7101065993309021,0.0001884425039850356,204800,100
110,0.8504612445831299,1.661354899406433,0.000165,225280,110
120,0.67304527759552,1.6998238146305085,0.0001415574960149644,245760,120
130,0.7792571783065796,1.7477515280246734,0.00011882728065103471,266240,130
140,0.7055286169052124,1.713283497095108,9.750000000000003e-05,286720,140
150,0.5983326435089111,1.7183205842971803,7.822367269231717e-05,307200,150
160,0.6574483513832092,1.7172923266887665,6.158400017893799e-05,327680,160
170,0.707431435585022,1.7138221740722657,4.808657048910077e-05,348160,170
180,0.5612234473228455,1.7597902595996857,3.814149619390237e-05,368640,180
190,0.4876505136489868,1.747016143798828,3.205095334335192e-05,389120,190
200,0.5555069446563721,1.7489115118980407,2.9999999999999997e-05,409600,200
