step,train_loss,val_loss,lr,tokens,wall_clock
10,2.1198949813842773,1.540054601430893,0.000165,20480,10
20,1.1541752815246582,1.7668879866600036,0.0003,40960,20
30,0.6971724033355713,2.25094929933548,0.0002979490466566481,61440,30
40,0.42657962441444397,2.297457957267761,0.00029185850380609757,81920,40
50,0.2415894716978073,2.399192786216736,0.0002819134295108992,102400,50
60,0.13085272908210754,2.551811623573303,0.000268415999821062,122880,60
70,0.15688982605934143,2.6570963978767397,0.0002517763273076828,143360,70
80,0.14220881462097168,2.8146278619766236,0.00023249999999999999,163840,80
90,0.09438615292310715,2.7662351012229918,0.00021117271934896527,184320,90
100,0.0895170196890831,2.812338483333588,0.0001884425039850356,204800,100
110,0.0563204325735569,2.9000257730484007,0.000165,225280,110
120,0.04893025383353233,2.884938192367554,0.0001415574960149644,245760,120
130,0.07960263639688492,2.8609015703201295,0.00011882728065103471,266240,130
140,0.06433799862861633,2.8681069135665895,9.750000000000003e-05,286720,140
150,0.05700992792844772,2.9262834548950196,7.822367269231717e-05,307200,150
160,0.030707193538546562,2.9723076462745666,6.158400017893799e-05,327680,160
170,0.06114425137639046,2.890624797344208,4.808657048910077e-05,348160,170
180,0.03649160638451576,2.87959965467453,3.814149619390237e-05,368640,180
190,0.04654064029455185,2.8876185178756715,3.205095334335192e-05,389120,190
200,0.06682012230157852,2.8754666566848757,2.9999999999999997e-05,409600,200
