step,train_loss,val_loss,lr,tokens,wall_clock
10,2.2518668174743652,1.5486434817314148,0.000165,20480,10
20,1.4567762613296509,1.75665043592453,0.0003,40960,20
30,1.0386446714401245,2.123346894979477,0.0002979490466566481,61440,30
40,0.6729176640510559,2.12525680065155,0.00029185850380609757,81920,40
50,0.37465590238571167,2.16568284034729,0.0002819134295108992,102400,50
60,0.4233226180076599,2.2619450092315674,0.000268415999821062,122880,60
70,0.19715595245361328,2.305977129936218,0.0002517763273076828,143360,70
80,0.19473542273044586,2.384017598628998,0.00023249999999999999,163840,80
90,0.1892869621515274,2.478066325187683,0.00021117271934896527,184320,90
100,0.1385089010000229,2.5078206658363342,0.0001884425039850356,204800,100
110,0.127764031291008,2.585784351825714,0.000165,225280,110
120,0.12620174884796143,2.5447243809700013,0.0001415574960149644,245760,120
130,0.08697406202554703,2.5501024961471557,0.00011882728065103471,266240,130
140,0.0850653201341629,2.6468862891197205,9.750000000000003e-05,286720,140
150,0.0715479776263237,2.688538980484009,7.822367269231717e-05,307200,150
160,0.10378889739513397,2.6827590107917785,6.158400017893799e-05,327680,160
170,0.07690784335136414,2.6406962156295775,4.808657048910077e-05,348160,170
180,0.0619208924472332,2.6255147099494933,3.814149619390237e-05,368640,180
190,0.0711657777428627,2.6488698959350585,3.205095334335192e-05,389120,190
200,0.05908063054084778,2.684897553920746,2.9999999999999997e-05,409600,200
