step,train_loss,val_loss,lr,tokens,wall_clock
10,2.1791560649871826,1.5112096786499023,0.000165,20480,10
20,1.315844178199768,1.7244717001914978,0.0003,40960,20
30,0.7535601854324341,2.1065662622451784,0.0002979490466566481,61440,30
40,0.547699511051178,2.143840754032135,0.00029185850380609757,81920,40
50,0.4226517677307129,2.2327836453914642,0.0002819134295108992,102400,50
60,0.32784682512283325,2.3096007347106933,0.000268415999821062,122880,60
70,0.1983320415019989,2.3955689132213593,0.0002517763273076828,143360,70
80,0.19397638738155365,2.4684154868125914,0.00023249999999999999,163840,80
90,0.14575473964214325,2.5049612283706666,0.00021117271934896527,184320,90
100,0.13466015458106995,2.524600386619568,0.0001884425039850356,204800,100
110,0.0930689349770546,2.5450921416282655,0.000165,225280,110
120,0.13093043863773346,2.5589826941490172,0.0001415574960149644,245760,120
130,0.1001928374171257,2.6251286625862122,0.00011882728065103471,266240,130
140,0.07800422608852386,2.6557213187217714,9.750000000000003e-05,286720,140
150,0.09329265356063843,2.6600915670394896,7.822367269231717e-05,307200,150
160,0.09537804126739502,2.6593164086341856,6.158400017893799e-05,327680,160
170,0.07239741832017899,2.6922297835350038,4.808657048910077e-05,348160,170
180,0.08332951366901398,2.667300653457642,3.814149619390237e-05,368640,180
190,0.09292375296354294,2.6836810946464538,3.205095334335192e-05,389120,190
200,0.06625238060951233,2.6465420365333556,2.9999999999999997e-05,409600,200
