step,train_loss,val_loss,lr,tokens,wall_clock
10,2.365036725997925,1.517194962501526,0.000165,20480,10
20,1.2229905128479004,1.693754369020462,0.0003,40960,20
30,0.758788526058197,2.0468490779399873,0.0002979490466566481,61440,30
40,0.6345268487930298,2.1219774067401884,0.00029185850380609757,81920,40
50,0.32748404145240784,2.2297378540039063,0.0002819134295108992,102400,50
60,0.2791009843349457,2.3626381516456605,0.000268415999821062,122880,60
70,0.18886248767375946,2.3822679042816164,0.0002517763273076828,143360,70
80,0.2998659908771515,2.4101176142692564,0.00023249999999999999,163840,80
90,0.21369892358779907,2.448514771461487,0.00021117271934896527,184320,90
100,0.1325458288192749,2.5320436358451843,0.0001884425039850356,204800,100
110,0.12835374474525452,2.6023220300674437,0.000165,225280,110
120,0.09929349273443222,2.65939257144928,0.0001415574960149644,245760,120
130,0.10009340941905975,2.632556736469269,0.00011882728065103471,266240,130
140,0.08699729293584824,2.6403433084487915,9.750000000000003e-05,286720,140
150,0.1456606537103653,2.6817889332771303,7.822367269231717e-05,307200,150
160,0.09353057295084,2.732838845252991,6.158400017893799e-05,327680,160
170,0.07638415694236755,2.726683795452118,4.808657048910077e-05,348160,170
180,0.06283558160066605,2.7155239939689637,3.814149619390237e-05,368640,180
190,0.06879417598247528,2.7065276503562927,3.205095334335192e-05,389120,190
200,0.0648394227027893,2.7294018030166627,2.9999999999999997e-05,409600,200
