step,train_loss,val_loss,lr,tokens,wall_clock
10,2.2569382190704346,1.5425185203552245,0.000165,20480,10
20,1.3611574172973633,1.7122848868370055,0.0003,40960,20
30,0.7538896203041077,2.1509818971157073,0.0002979490466566481,61440,30
40,0.6774482131004333,2.161135870218277,0.00029185850380609757,81920,40
50,0.4967564642429352,2.3088269889354707,0.0002819134295108992,102400,50
60,0.3174345791339874,2.428510510921478,0.000268415999821062,122880,60
70,0.16346710920333862,2.4939352750778196,0.0002517763273076828,143360,70
80,0.14956925809383392,2.5592480540275573,0.00023249999999999999,163840,80
90,0.17597514390945435,2.584357535839081,0.00021117271934896527,184320,90
100,0.13120384514331818,2.5741740822792054,0.0001884425039850356,204800,100
110,0.1325611025094986,2.694742798805237,0.000165,225280,110
120,0.11734544485807419,2.675289034843445,0.0001415574960149644,245760,120
130,0.11341281980276108,2.7035312175750734,0.00011882728065103471,266240,130
140,0.09150756895542145,2.7714437007904054,9.750000000000003e-05,286720,140
150,0.08376994729042053,2.737671768665314,7.822367269231717e-05,307200,150
160,0.07641615718603134,2.7214818239212035,6.158400017893799e-05,327680,160
170,0.06331780552864075,2.735846769809723,4.808657048910077e-05,348160,170
180,0.0508660152554512,2.740619432926178,3.814149619390237e-05,368640,180
190,0.07702434808015823,2.709840941429138,3.205095334335192e-05,389120,190
200,0.08699828386306763,2.7080130338668824,2.9999999999999997e-05,409600,200
