step,train_loss,val_loss,lr,tokens,wall_clock
10,1.7743847370147705,1.5618377923965454,0.000165,20480,10
20,1.4814574718475342,1.6556367754936219,0.0003,40960,20
30,1.3978334665298462,1.6890999257564545,0.0002979490466566481,61440,30
40,1.1337909698486328,1.6105394124984742,0.00029185850380609757,81920,40
50,0.8246079683303833,1.5968222916126251,0.0002819134295108992,102400,50
60,1.1701229810714722,1.5886017322540282,0.000268415999821062,122880,60
70,0.8730049133300781,1.6123936474323273,0.0002517763273076828,143360,70
80,0.645470380783081,1.6160411596298219,0.00023249999999999999,163840,80
90,0.9980118870735168,1.6548310756683349,0.00021117271934896527,184320,90
100,1.0505963563919067,1.6219689488410949,0.0001884425039850356,204800,100
110,0.7210021615028381,1.6581465005874634,0.000165,225280,110
120,0.7532314658164978,1.703767228126526,0.0001415574960149644,245760,120
130,0.690106987953186,1.7126419484615325,0.00011882728065103471,266240,130
140,0.7989163398742676,1.7389338493347168,9.750000000000003e-05,286720,140
150,0.44355857372283936,1.7573395550251008,7.822367269231717e-05,307200,150
160,0.6260750889778137,1.7264386653900146,6.158400017893799e-05,327680,160
170,0.6125653982162476,1.7168809592723846,4.808657048910077e-05,348160,170
180,0.6495397686958313,1.7057195365428925,3.814149619390237e-05,368640,180
190,0.6879967451095581,1.712432599067688,3.205095334335192e-05,389120,190
200,0.42616093158721924,1.7636100471019744,2.9999999999999997e-05,409600,200
