step,train_loss,val_loss,lr,tokens,wall_clock
10,1.5326589345932007,1.5467776715755464,0.000165,20480,10
20,1.3372033834457397,1.6586604952812194,0.0003,40960,20
30,1.183954119682312,1.6461183726787567,0.0002979490466566481,61440,30
40,1.077531337738037,1.570874136686325,0.00029185850380609757,81920,40
50,0.8964831829071045,1.5466188132762908,0.0002819134295108992,102400,50
60,0.6505671143531799,1.6327078759670257,0.000268415999821062,122880,60
70,0.8667313456535339,1.6514409720897674,0.0002517763273076828,143360,70
80,0.7330229878425598,1.6249324440956117,0.00023249999999999999,163840,80
90,0.8482850790023804,1.7028733789920807,0.00021117271934896527,184320,90
100,0.951644241809845,1.7271603524684906,0.0001884425039850356,204800,100
110,0.8757347464561462,1.6841837465763092,0.000165,225280,110
120,0.8199065923690796,1.6890650391578674,0.0001415574960149644,245760,120
130,0.7759873270988464,1.7523838877677917,0.00011882728065103471,266240,130
140,0.5503275394439697,1.7489592492580415,9.750000000000003e-05,286720,140
150,0.4876756966114044,1.7382331907749176,7.822367269231717e-05,307200,150
160,0.8213165402412415,1.7100195467472077,6.158400017893799e-05,327680,160
170,0.652857780456543,1.7204400837421416,4.808657048910077e-05,348160,170
180,0.5497671961784363,1.7680514574050903,3.814149619390237e-05,368640,180
190,0.676663339138031,1.7747869670391083,3.205095334335192e-05,389120,190
200,0.3702627718448639,1.7552592277526855,2.9999999999999997e-05,409600,200
