step,train_loss,val_loss,lr,tokens,wall_clock
10,1.5765044689178467,1.540214443206787,0.000165,20480,10
20,1.4253251552581787,1.6048650324344635,0.0003,40960,20
30,1.4092544317245483,1.6310476541519165,0.0002979490466566481,61440,30
40,1.0592994689941406,1.6367925107479095,0.00029185850380609757,81920,40
50,1.3003754615783691,1.6129815697669982,0.0002819134295108992,102400,50
60,1.0587797164916992,1.5904203355312347,0.000268415999821062,122880,60
70,0.8404604196548462,1.6583951473236085,0.0002517763273076828,143360,70
80,0.5327836275100708,1.703857320547104,0.00023249999999999999,163840,80
90,0.7347857356071472,1.725897204875946,0.00021117271934896527,184320,90
100,0.7753690481185913,1.7178282737731934,0.0001884425039850356,204800,100
110,0.8377715945243835,1.6940195977687835,0.000165,225280,110
120,0.6937020421028137,1.7252403616905212,0.0001415574960149644,245760,120
130,0.6812711358070374,1.749681782722473,0.00011882728065103471,266240,130
140,0.7456351518630981,1.7844268262386322,9.750000000000003e-05,286720,140
150,0.6177805066108704,1.7927576065063477,7.822367269231717e-05,307200,150
160,0.8602832555770874,1.7884497046470642,6.158400017893799e-05,327680,160
170,0.6912049651145935,1.7843210756778718,4.808657048910077e-05,348160,170
180,0.5809233784675598,1.812741869688034,3.814149619390237e-05,368640,180
190,0.7198654413223267,1.821645587682724,3.205095334335192e-05,389120,190
200,0.5541753768920898,1.8037628471851348,2.9999999999999997e-05,409600,200
