step,train_loss,val_loss,lr,tokens,wall_clock
10,2.0631856620311737,1.5118404567241668,0.000165,163840,10
20,1.0966632664203644,1.6394292116165161,0.0003,327680,20
30,0.6735807061195374,1.6600436985492706,0.0002979490466566481,491520,30
40,0.4948632400482893,1.5612291157245637,0.00029185850380609757,655360,40
50,0.3694944232702255,1.5699013888835907,0.0002819134295108992,819200,50
60,0.28208350110799074,1.5736774802207947,0.000268415999821062,983040,60
70,0.21968039963394403,1.5632580280303956,0.0002517763273076828,1146880,70
80,0.17566298320889473,1.575292044878006,0.00023249999999999999,1310720,80
90,0.14616178022697568,1.6060155868530273,0.00021117271934896527,1474560,90
100,0.1229091826826334,1.5498670041561127,0.0001884425039850356,1638400,100
110,0.10820360714569688,1.5684694468975067,0.000165,1802240,110
120,0.09612188721075654,1.551071935892105,0.0001415574960149644,1966080,120
130,0.08669680263847113,1.5634428143501282,0.00011882728065103471,2129920,130
140,0.07972879195585847,1.5554868519306182,9.750000000000003e-05,2293760,140
150,0.0743197484407574,1.5573702514171601,7.822367269231717e-05,2457600,150
160,0.06991313863545656,1.5761569738388062,6.158400017893799e-05,2621440,160
170,0.06671630358323455,1.5425261318683625,4.808657048910077e-05,2785280,170
180,0.0648064841516316,1.5471984684467315,3.814149619390237e-05,2949120,180
190,0.06297905324026942,1.5491648733615875,3.205095334335192e-05,3112960,190
200,0.06126792193390429,1.530521297454834,2.9999999999999997e-05,3276800,200
