step,train_loss,val_loss,lr,tokens,wall_clock
10,1.4705801010131836,1.5460898935794831,0.000165,20480,10
20,1.4856963157653809,1.5667709350585937,0.0003,40960,20
30,1.59214448928833,1.5337112724781037,0.0002979490466566481,61440,30
40,1.5401666164398193,1.5126542806625367,0.00029185850380609757,81920,40
50,1.5881552696228027,1.4977330148220063,0.0002819134295108992,102400,50
60,1.492035984992981,1.500250095129013,0.000268415999821062,122880,60
70,1.5530421733856201,1.4998175144195556,0.0002517763273076828,143360,70
80,1.4769489765167236,1.5069005072116852,0.00023249999999999999,163840,80
90,1.435304880142212,1.5046942055225372,0.00021117271934896527,184320,90
100,1.6574196815490723,1.5014464259147644,0.0001884425039850356,204800,100
110,1.5319966077804565,1.5188291192054748,0.000165,225280,110
120,1.5472779273986816,1.536917692422867,0.0001415574960149644,245760,120
130,1.576472282409668,1.5278517484664917,0.00011882728065103471,266240,130
140,1.4993048906326294,1.5224986016750335,9.750000000000003e-05,286720,140
150,1.4603911638259888,1.5143574357032776,7.822367269231717e-05,307200,150
160,1.422533392906189,1.4852133572101593,6.158400017893799e-05,327680,160
170,1.4526677131652832,1.4851032495498657,4.808657048910077e-05,348160,170
180,1.4800596237182617,1.492776381969452,3.814149619390237e-05,368640,180
190,1.6123757362365723,1.480007666349411,3.205095334335192e-05,389120,190
200,1.4742487668991089,1.518416804075241,2.9999999999999997e-05,409600,200
