step,train_loss,val_loss,lr,tokens,wall_clock
10,2.427022786810994,1.5389417946338653,0.000165,1310720,10
20,2.2835148256272078,1.5081927001476287,0.0003,2621440,20
30,2.070790398865938,1.5173758089542388,0.0002979490466566481,3932160,30
40,1.8478572238236666,1.5224728167057038,0.00029185850380609757,5242880,40
50,1.6645591156557202,1.571280437707901,0.0002819134295108992,6553600,50
60,1.5390519322827458,1.5425823748111724,0.000268415999821062,7864320,60
70,1.4564556321129203,1.5396205723285674,0.0002517763273076828,9175040,70
80,1.3959325151517987,1.5494374692440034,0.00023249999999999999,10485760,80
90,1.3450967324897647,1.5510053396224976,0.00021117271934896527,11796480,90
100,1.3010663175955415,1.5307637929916382,0.0001884425039850356,13107200,100
110,1.2652765288949013,1.5691112101078033,0.000165,14417920,110
120,1.2360135465860367,1.5430002808570862,0.0001415574960149644,15728640,120
130,1.2126269806176424,1.520164781808853,0.00011882728065103471,17039360,130
140,1.1936377882957458,1.5649401545524597,9.750000000000003e-05,18350080,140
150,1.1783395102247596,1.5574517250061035,7.822367269231717e-05,19660800,150
160,1.1665763454511762,1.5411484837532043,6.158400017893799e-05,20971520,160
170,1.1571045722812414,1.5423496186733245,4.808657048910077e-05,22282240,170
180,1.149785652756691,1.5288956344127655,3.814149619390237e-05,23592960,180
190,1.1440172186121345,1.5633423686027528,3.205095334335192e-05,24903680,190
200,1.1391349406912923,1.5104236841201781,2.9999999999999997e-05,26214400,200
